category;subcategory;sentence;paraphrase;source
leksikalno_parafraziranje;zamenjava_sopomenk;"Kako dolgo bo trajala ""vročica"" igre Pokémon GO? ";Koliko časa menite, da bo ta trend igre Pokémon GO trajal?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Kaj menijo pakistanski ljudje o napadu v Uriju 18. septembra 2016?;Kaj menijo prebivalci Pakistana o napadu v Uriju 18.septembra 2016?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Kako postati scenarist Bollywooda?;Kako lahko nekdo postane besedilopisec Bollywooda?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Marx je rekel ‘Religija je opij ljudstva’, zakaj so torej indijske komunistične stranke postale proti-Hindu?;Zakaj so indijski levičarji imenovani proti-Hindujcem, ko je komunistična ideologija proti vsem religijam?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Zakaj se kastni sistem vztrajno ohranja v Indiji?;Zakaj se kastna ureditev vztrajno ohranja v Indiji?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Ali je res, da bodo nove indijske bankovce v vrednosti 2000 rupij vsebovale nano GPS čip?;Koliko je resnice, da so novi visokovalutni bankovci Indije vgrajeni z GPS nano čipi?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Zakaj je v naši Bollywood filmski industriji toliko muslimanov?;Zakaj je v hindujski filmski industriji toliko muslimanov?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Kdo bo zmagal na Svetovnem prvenstvu 2014?;Kdo si bo priboril naslov svetovnega prvaka leta 2014?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Kolikšen odstotek populacije ima dve različno obarvani očesi?;Kolikšen odstotek populacije ima heterokromijo iridum (dve različno obarvani očesi)?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Kako pridobiti zaslužek z uporabo mobilne aplikacije?;Na kakšen način lahko prek aplikacije ustvarimo dohodek?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Kateri je najbolj zabaven štos, kar ste ga kdaj slišali?;Kateri je najduhovitejši hec, ki vam je ostal v spominu?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Zakaj pri določenih odgovorih ni omogočena funkcija komentiranja?;Zakaj nekateri odgovori niso opremljeni z možnostjo za oddajo komentarja?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Kateri je priznani administrativni jezik Indije?;Kateri je državni jezik, ki ga uporablja večina prebivalstva v Indiji?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Na katere načine se lahko izkoristijo mikroorganizmi?;Kako lahko mikrobi pripomorejo k določenim procesom?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Kako bo ukinitev bankovcev za 500 in 1000 rupij vplivala na trg z nepremičninami?;Kakšne posledice ima razveljavitev veljavnosti 500- in 1000-rupijskih bankovcev za indijski trg nepremičnin?;quora
