sentence_translation,paraphrase_translation,norm_sentence_translation,norm_paraphrase_translation,labse_similarity,laser_similarity,jaccard_similarity,length_ratio,meteor_score,raw_meteor_score,lemma_meteor_score,meteor_difference,ensemble_score,is_paraphrase,length_s1,length_s2,string_similarity,is_identical
"Yucaipa je leta 1995 kupila Dominick's za 693 milijonov dolarjev in jo leta 1998 prodala Safewayu za 1,8 milijarde dolarjev.","Yucaipa je imela v lasti Dominick's, preden je verigo leta 1998 prodala Safewayu za 2,5 milijarde dolarjev.","yucaipa je leta 1995 kupila dominick's za 693 milijonov dolarjev in jo leta 1998 prodala safewayu za 1,8 milijarde dolarjev.","yucaipa je imela v lasti dominick's, preden je verigo leta 1998 prodala safewayu za 2,5 milijarde dolarjev.",0.8313676118850708,0.8365302681922913,0.36,0.85,0.43679889703578373,0.43679889703578373,0.43679889703578373,0.0,0.7481860149152941,False,20,17,0.6693548387096775,False
Lastniki ladje so 10.,"Dodali so, da so 10.",lastniki ladje so 10.,"dodali so, da so 10.",0.6174572706222534,0.7482520341873169,0.2857142857142857,0.8,0.45731707317073167,0.45731707317073167,0.45731707317073167,0.0,0.6257616543935983,False,4,5,0.4285714285714286,False
"Delnice Tab so se zvišale za 20 centov, ali 4,6%, in dosegle rekordno visoko zapiralno vrednost A$4,57.","Okoli 0335 GMT so se delnice Tab zvišale za 19 centov, ali 4,4%, na A$4,56, potem ko so prej dosegle rekordno visoko vrednost A$4,57.","delnice tab so se zvišale za 20 centov, ali 4,6%, in dosegle rekordno visoko zapiralno vrednost a$4,57.","okoli 0335 gmt so se delnice tab zvišale za 19 centov, ali 4,4%, na a$4,56, potem ko so prej dosegle rekordno visoko vrednost a$4,57.",0.7927672863006592,0.8348801732063293,0.48148148148148145,0.7083333333333334,0.6771303446661986,0.6771303446661986,0.6771303446661986,0.0,0.754265482430264,True,17,24,0.518796992481203,False
Deleži PG&E Corp.,"Delež se je dvignil za 2,11 dolarja, ali približno 11 odstotkov, in zaključil petek pri 21,51 dolarja na New York Stock Exchange.",deleži pg&e corp.,"delež se je dvignil za 2,11 dolarja, ali približno 11 odstotkov, in zaključil petek pri 21,51 dolarja na new york stock exchange.",0.3132156729698181,0.27038276195526123,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.2200374614108693,False,3,22,0.10077519379844957,False
"Z obtožbo, ki visi nad Stewartino družbo, so se prihodki v prvem četrtletju leta zmanjšali za 15 odstotkov v primerjavi z istim obdobjem prejšnjega leta.",Prihodki v prvem četrtletju leta so se zmanjšali za 15 odstotkov v primerjavi z istim obdobjem prejšnjega leta.,"z obtožbo, ki visi nad stewartino družbo, so se prihodki v prvem četrtletju leta zmanjšali za 15 odstotkov v primerjavi z istim obdobjem prejšnjega leta.",prihodki v prvem četrtletju leta so se zmanjšali za 15 odstotkov v primerjavi z istim obdobjem prejšnjega leta.,0.8898267149925232,0.9362132549285889,0.7391304347826086,0.72,0.7390260631001372,0.7390260631001372,0.7390260631001372,0.0,0.8566103122638606,True,25,18,0.6470588235294117,False
"Tehnološko obarvani Nasdaq Composite .IXIC se je dvignil za 30,46 točke, ali 2,04 odstotka, na 1.520,15.","Nasdaq je imel tedenski dobiček 17,27 točke, ali 1,2 odstotka, in zaključil pri 1.520,15 v petek.","tehnološko obarvani nasdaq composite .ixic se je dvignil za 30,46 točke, ali 2,04 odstotka, na 1.520,15.","nasdaq je imel tedenski dobiček 17,27 točke, ali 1,2 odstotka, in zaključil pri 1.520,15 v petek.",0.5948757529258728,0.4390266239643097,0.18518518518518517,1.0,0.23249999999999998,0.23249999999999998,0.23249999999999998,0.0,0.5114268068781607,False,16,16,0.27884615384615385,False
DVD CCA je pritožila na to odločitev na Vrhovno sodišče ZDA.,DVD-CCA se je nato pritožila na državno vrhovno sodišče.,dvd cca je pritožila na to odločitev na vrhovno sodišče zda.,dvd-cca se je nato pritožila na državno vrhovno sodišče.,0.8162155747413635,0.9287996292114258,0.26666666666666666,0.8181818181818182,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.0,0.7321294856633402,False,11,9,0.5833333333333333,False
Dobiček je bil prizadet zaradi enkratnega davčnega ugodja v istem obdobju prejšnjega leta v višini 8 milijonov dolarjev.,"To je bilo v primerjavi z 35,18 milijona dolarjev, ali 24 centov na delnico, v enakem obdobju prejšnjega leta.",dobiček je bil prizadet zaradi enkratnega davčnega ugodja v istem obdobju prejšnjega leta v višini 8 milijonov dolarjev.,"to je bilo v primerjavi z 35,18 milijona dolarjev, ali 24 centov na delnico, v enakem obdobju prejšnjega leta.",0.6129811406135559,0.37092021107673645,0.12903225806451613,0.9473684210526315,0.20552486187845304,0.20552486187845304,0.20552486187845304,0.0,0.4846610736680035,False,18,19,0.23333333333333328,False
Posel s pekovskimi izdelki za gostinsko dejavnost ne ustreza naši dolgoročni strategiji.,"Dejal je, da posel s pekovskimi izdelki za gostinsko dejavnost ne ustreza dolgoročni strategiji podjetja.",posel s pekovskimi izdelki za gostinsko dejavnost ne ustreza naši dolgoročni strategiji.,"dejal je, da posel s pekovskimi izdelki za gostinsko dejavnost ne ustreza dolgoročni strategiji podjetja.",0.8512347340583801,0.926751971244812,0.5882352941176471,0.8,0.8097560975609756,0.8097560975609756,0.8097560975609756,0.0,0.8383186241646581,True,12,15,0.7428571428571429,False
"Deleži Xoma so se znižali za 16 odstotkov v zgodnjem trgovanju, medtem ko so se deleži Genentecha, velikega podjetja z več izdelki na trgu, dvignili za 2 odstotka.","Deleži Genentecha, velikega podjetja z več izdelki na trgu, so se dvignili za več kot 2 odstotka.","deleži xoma so se znižali za 16 odstotkov v zgodnjem trgovanju, medtem ko so se deleži genentecha, velikega podjetja z več izdelki na trgu, dvignili za 2 odstotka.","deleži genentecha, velikega podjetja z več izdelki na trgu, so se dvignili za več kot 2 odstotka.",0.7222075462341309,0.5587986707687378,0.6,0.6071428571428571,0.5397769516728624,0.5397769516728624,0.5397769516728624,0.0,0.6312146006058458,False,28,17,0.4233128834355828,False
"Zakonodaja, ki potrošnikom otežuje izbris dolgov v stečajnem sodišču, je marca hitro dosegla odobritev v predstavniškem domu in je bila podprta s strani Bele hiše.","Zakonodaja, ki potrošnikom otežuje izbris dolgov v stečajnem sodišču, je marca dosegla premočno odobritev v predstavniškem domu.","zakonodaja, ki potrošnikom otežuje izbris dolgov v stečajnem sodišču, je marca hitro dosegla odobritev v predstavniškem domu in je bila podprta s strani bele hiše.","zakonodaja, ki potrošnikom otežuje izbris dolgov v stečajnem sodišču, je marca dosegla premočno odobritev v predstavniškem domu.",0.8845704793930054,0.9498091340065002,0.56,0.68,0.608356290174472,0.608356290174472,0.608356290174472,0.0,0.8236065609765997,True,25,17,0.6748466257668712,False
"Nasdaq Composite indeks, poln tehnoloških delnic, se je nedavno povečal za približno 18 točk.","Nasdaqov kompozitni indeks se je povečal za 10,73 točke, ali 0,7 odstotka, na 1.514,77.","nasdaq composite indeks, poln tehnoloških delnic, se je nedavno povečal za približno 18 točk.","nasdaqov kompozitni indeks se je povečal za 10,73 točke, ali 0,7 odstotka, na 1.514,77.",0.4936157763004303,0.7143725752830505,0.16666666666666666,1.0,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.0,0.5552104640574683,False,14,14,0.32258064516129037,False
"De Sole je v izjavi o rezultatih dejal, da se bo skupinska uspešnost izboljšala v drugi polovici leta in naprej.","Vendar je dodal, da se bo skupinska uspešnost izboljšala v drugi polovici leta in naprej.","de sole je v izjavi o rezultatih dejal, da se bo skupinska uspešnost izboljšala v drugi polovici leta in naprej.","vendar je dodal, da se bo skupinska uspešnost izboljšala v drugi polovici leta in naprej.",0.8608559966087341,0.8740965127944946,0.6190476190476191,0.75,0.6654528903049614,0.6654528903049614,0.6654528903049614,0.0,0.8100214034171003,True,20,15,0.7410714285714286,False
"Hčere Saddama so imele v mislih britanske šole in bolnišnice, ko so se odločile za prošnjo za azil - še posebej šole,"" je povedal The Sun.","Povedal je časopisu The Sun, da so hčere gospoda Husseina imeli v mislih britanske šole in bolnišnice, ko so se odločile za prošnjo za azil.","hčere saddama so imele v mislih britanske šole in bolnišnice, ko so se odločile za prošnjo za azil - še posebej šole,"" je povedal the sun.","povedal je časopisu the sun, da so hčere gospoda husseina imeli v mislih britanske šole in bolnišnice, ko so se odločile za prošnjo za azil.",0.8175063133239746,0.9131300449371338,0.5161290322580645,0.9615384615384616,0.682110682110682,0.682110682110682,0.682110682110682,0.0,0.816919356401451,True,26,25,0.37857142857142856,False
"Šef lokalne enote za nesreče, Gyorgy Heizler, je dejal, da voznik avtobusa ni upošteval rdečih luči za ustavljanje.","Gyorgy Heizler, vodja lokalne enote za nesreče, je dejal, da je bil avtobus, ki je prevažal 38 potnikov.","šef lokalne enote za nesreče, gyorgy heizler, je dejal, da voznik avtobusa ni upošteval rdečih luči za ustavljanje.","gyorgy heizler, vodja lokalne enote za nesreče, je dejal, da je bil avtobus, ki je prevažal 38 potnikov.",0.7895586490631104,0.5876506567001343,0.375,1.0,0.42592592592592593,0.42592592592592593,0.42592592592592593,0.0,0.6722112492278771,False,18,18,0.3739130434782608,False
"Višji podpredsednik Eric Rudder, nekdanji vodja enote za evangelizacijo razvijalcev in platforme, bo vodil novo entiteto.",Rudder je bil nazadnje višji podpredsednik za poslovno evangelizacijo razvijalcev in platforme.,"višji podpredsednik eric rudder, nekdanji vodja enote za evangelizacijo razvijalcev in platforme, bo vodil novo entiteto.",rudder je bil nazadnje višji podpredsednik za poslovno evangelizacijo razvijalcev in platforme.,0.749769926071167,0.7811269164085388,0.2727272727272727,0.75,0.3605769230769231,0.3605769230769231,0.3605769230769231,0.0,0.672576464931448,False,16,12,0.4132231404958677,False
"Notranji kaos je omogočil tujim podjetjem, da ustanovijo škodljive komercialne sečnje in ribolovne operacije brez ustrezne kontrole ali izvoznih kontrol.","Poleg sheme delfinov je kaos omogočil tujim podjetjem, da se vključijo v škodljive sečnje in ribolovne operacije brez ustrezne kontrole ali izvoznih kontrol.","notranji kaos je omogočil tujim podjetjem, da ustanovijo škodljive komercialne sečnje in ribolovne operacije brez ustrezne kontrole ali izvoznih kontrol.","poleg sheme delfinov je kaos omogočil tujim podjetjem, da se vključijo v škodljive sečnje in ribolovne operacije brez ustrezne kontrole ali izvoznih kontrol.",0.8862606287002563,0.9088111519813538,0.6538461538461539,0.8695652173913043,0.8267850750848006,0.8267850750848006,0.8267850750848006,0.0,0.8621672417067348,True,20,23,0.713375796178344,False
"Njegova žena je dejala, da je bil ""100-odstotno za Georgea Busha"" in se veselil uporabe svojih let usposabljanja v vojni.","Magnarelli je dejal, da je Racicot sovražil iraški režim in se veselil uporabe svojih dolgih let usposabljanja v vojni.","njegova žena je dejala, da je bil ""100-odstotno za georgea busha"" in se veselil uporabe svojih let usposabljanja v vojni.","magnarelli je dejal, da je racicot sovražil iraški režim in se veselil uporabe svojih dolgih let usposabljanja v vojni.",0.6263866424560547,0.5209478735923767,0.4230769230769231,0.95,0.5918481295365717,0.5918481295365717,0.5918481295365717,0.0,0.6033315243214844,False,20,19,0.5950413223140496,False
"Sheena Young, govornica za organizacijo Child, nacionalno mrežo za podporo neplodnosti, je dejala, da naj bi predlagane smernice privedle do bolj ""pravične in enakopravne"" storitve za trpeče zaradi neplodnosti.","Sheena Young iz organizacije Child, nacionalne mreže za podporo neplodnosti, je upala, da bodo smernice privedle do bolj ""pravične in enakopravne"" storitve za trpeče zaradi neplodnosti.","sheena young, govornica za organizacijo child, nacionalno mrežo za podporo neplodnosti, je dejala, da naj bi predlagane smernice privedle do bolj ""pravične in enakopravne"" storitve za trpeče zaradi neplodnosti.","sheena young iz organizacije child, nacionalne mreže za podporo neplodnosti, je upala, da bodo smernice privedle do bolj ""pravične in enakopravne"" storitve za trpeče zaradi neplodnosti.",0.9594905972480774,0.9777566194534302,0.5294117647058824,0.896551724137931,0.6559884949858599,0.6559884949858599,0.6559884949858599,0.0,0.8853184231182274,True,29,26,0.8476190476190476,False
"Po mojem mnenju boste v naslednjih dveh letih videli veliko rast delovnih mest, je dejal Mankiw.","Po mojem mnenju boste v naslednjih dveh letih videli veliko rast delovnih mest, je dejal, dodal je, da bi lahko rast nadomestila izgubljena delovna mesta.","po mojem mnenju boste v naslednjih dveh letih videli veliko rast delovnih mest, je dejal mankiw.","po mojem mnenju boste v naslednjih dveh letih videli veliko rast delovnih mest, je dejal, dodal je, da bi lahko rast nadomestila izgubljena delovna mesta.",0.8855287432670593,0.8915353417396545,0.5384615384615384,0.64,0.8243267721289698,0.8243267721289698,0.8243267721289698,0.0,0.821950930887771,True,16,25,0.6038961038961039,False
"Prenovljeno orodje za navigacijo Finderja v Pantherju postavi najljubše mape uporabnika, trdi disk, omrežne strežnike, iDisk in izmenljive medije na eno mesto.","Novi Finder postavi mape uporabnika, trdi disk, omrežne strežnike, iDisk in izmenljive medije na eno mesto, kar omogoča dostop z enim klikom.","prenovljeno orodje za navigacijo finderja v pantherju postavi najljubše mape uporabnika, trdi disk, omrežne strežnike, idisk in izmenljive medije na eno mesto.","novi finder postavi mape uporabnika, trdi disk, omrežne strežnike, idisk in izmenljive medije na eno mesto, kar omogoča dostop z enim klikom.",0.8604359030723572,0.8461896777153015,0.41935483870967744,1.0,0.5898332436793976,0.5898332436793976,0.5898332436793976,0.0,0.798950072782441,True,22,22,0.4591194968553459,False
